"ACCOUNTID";"CODE";"CODE_MA";"IS_CHURN";"CHURN_DATE"
"1738984";"SA790015503";"MA700004538";"0";""
"1739003";"SA230010802";"MA310008347";"1";"31.01.2022"
"1739074";"SA110016349";"MA620002501";"1";"30.04.2022"
"1739121";"SA580001728";"MA560012995";"0";""
"1739132";"SA140018827";"MA460015979";"0";""
"1739220";"SA960015563";"MA750018346";"0";""
"1739245";"SA940015920";"MA310015923";"0";""
"1739343";"SA450007412";"MA120002024";"0";""
"1739453";"SA620007975";"MA440013707";"1";"31.05.2022"
"1739479";"SA180015169";"MA740015232";"0";""
"1739485";"SA340009995";"MA610001843";"0";""
"1739532";"SA170021862";"MA600005208";"1";"30.04.2021"
"1739540";"SA250002835";"MA760016778";"0";""
"1739556";"SA580020991";"MA260015368";"0";""
"1739723";"SA710004926";"MA910007975";"1";"31.08.2022"
"1739773";"SA450010183";"MA890007686";"0";""
"1739804";"SA560021595";"MA270007765";"0";""
"1740040";"SA290013322";"MA720013491";"1";"31.03.2022"
"1740167";"SA460001220";"MA490017918";"0";""
"1740480";"SA280015442";"MA450018242";"0";""
"1740538";"SA890012929";"MA480004832";"0";""
"1740584";"SA510021115";"MA890007233";"0";""
"1740676";"SA750000907";"MA650000932";"0";""
"1740706";"SA610005791";"MA110014291";"0";""
"1740782";"SA770001923";"MA610021434";"0";""
"1740800";"SA790001647";"MA280012908";"0";""
"1740849";"SA500004155";"MA470001497";"0";""
"1740857";"SA660010807";"MA910005548";"1";"31.03.2021"
"1740938";"SA330014299";"MA800000500";"0";""
"1741011";"SA880007758";"MA200008058";"1";"31.07.2021"
"1741034";"SA420014739";"MA330006573";"0";""
"1741051";"SA530000277";"MA500005927";"0";""
"1741089";"SA600021043";"MA340009995";"0";""
"1741097";"SA610014951";"MA530015043";"0";""
"1741218";"SA630010358";"MA300010680";"1";"28.02.2021"
"1741378";"SA980009140";"MA860000954";"0";""
"1741430";"SA480009165";"MA430020410";"0";""
"1741515";"SA790019379";"MA920016529";"1";"31.05.2022"
"1741576";"SA190021537";"MA140004898";"0";""
"1741588";"SA310003548";"MA910006506";"0";""
"1741660";"SA380018472";"MA820010264";"0";""
"1741670";"SA580021615";"MA110015974";"0";""
"1741759";"SA670014135";"MA300011521";"0";""
"1741780";"SA920011254";"MA260011504";"0";""
"1741792";"SA620014013";"MA530014177";"0";""
"1741848";"SA390003167";"MA900008924";"0";""
"1741954";"SA240021448";"MA610007587";"0";""
"1741989";"SA840021676";"MA560016012";"0";""
"1741999";"SA680002656";"MA230011176";"1";"30.06.2022"
"1742277";"SA320004140";"MA500012657";"0";""
"1742382";"SA280001472";"MA290004431";"0";""
"1742391";"SA480000813";"MA900014769";"0";""
"1742497";"SA880016268";"MA290016264";"1";"31.03.2021"
"1742547";"SA920018542";"MA960015711";"0";""
"1742598";"SA310017375";"MA950009206";"0";""
"1742602";"SA550015402";"MA690018205";"0";""
"1742616";"SA720009930";"MA210012937";"0";""
"1743098";"SA220011070";"MA250003010";"0";""
"1743175";"SA810021549";"MA820021446";"0";""
"1743244";"SA740012281";"MA630020728";"0";""
"1743259";"SA510012629";"MA840015540";"0";""
"1743341";"SA900022268";"MA250013886";"1";"30.09.2021"
"1743434";"SA870017273";"MA950003525";"0";""
"1743438";"SA410001249";"MA810017957";"0";""
"1743580";"SA400016129";"MA490010735";"1";"31.03.2022"
"1743608";"SA610021228";"MA400004567";"0";""
"1743695";"SA250018287";"MA270004482";"0";""
"1743756";"SA940022070";"MA820002581";"1";"31.01.2022"
"1743874";"SA630015691";"MA920010326";"0";""
"1743886";"SA960000541";"MA910000556";"0";""
"1743916";"SA510021301";"MA350007439";"0";""
"1744230";"SA480000488";"MA670011690";"0";""
"1744252";"SA710009221";"MA560020456";"0";""
"1744255";"SA540018852";"MA270021559";"0";""
"1744287";"SA380000763";"MA290014715";"0";""
"1744319";"SA410006094";"MA130011813";"0";""
"1744560";"SA890001959";"MA720010536";"0";""
"1744561";"SA410014254";"MA640014392";"0";""
"1744588";"SA970012795";"MA880007472";"0";""
"1744692";"SA540008873";"MA350014621";"0";""
"1744802";"SA610004100";"MA590012591";"0";""
"1744908";"SA620009230";"MA820001040";"0";""
"1745061";"SA700000635";"MA250006309";"0";""
"1745154";"SA420010895";"MA850013881";"1";"31.10.2021"
"1745206";"SA580008196";"MA580016617";"1";"30.09.2020"
"1745235";"SA690000195";"MA870008667";"0";""
"1745429";"SA340014483";"MA380017318";"0";""
"1745439";"SA470014321";"MA540017170";"0";""
"1745445";"SA120021546";"MA870015892";"0";""
"1745461";"SA790009520";"MA710001344";"0";""
"1745466";"SA170008840";"MA200003549";"0";""
"1745530";"SA700020441";"MA860003823";"0";""
"1745680";"SA150004483";"MA410010345";"0";""
"1745707";"SA170003024";"MA240019757";"0";""
"1745842";"SA810015120";"MA210009792";"0";""
"1745918";"SA330006023";"MA490011745";"0";""
"1745923";"SA350016700";"MA340011281";"0";""
"1745950";"SA780018206";"MA550012696";"0";""
"1746160";"SA950001368";"MA170012611";"0";""
"1746178";"SA670009898";"MA810001738";"0";""
"1746230";"SA620005228";"MA270021989";"1";"30.11.2022"
"1746296";"SA150004190";"MA620007200";"0";""
"1746305";"SA520010098";"MA660015793";"0";""
"1746332";"SA970004752";"MA230004983";"0";""
"1746361";"SA400004970";"MA270010787";"1";"31.03.2022"
"1746414";"SA890020607";"MA130012290";"0";""
"1746481";"SA760015847";"MA450007647";"0";""
"1746493";"SA810015757";"MA400018545";"0";""
"1746503";"SA920001500";"MA780010054";"0";""
"1746634";"SA800015839";"MA540010445";"0";""
"1746728";"SA200004359";"MA240007373";"0";""
"1746743";"SA770012825";"MA750021249";"0";""
"1746789";"SA690019338";"MA200019253";"1";"30.04.2022"
"1746790";"SA940013023";"MA160018692";"0";""
"1746831";"SA300007657";"MA490007952";"0";""
"1746854";"SA210021852";"MA720002345";"1";"30.06.2021"
"1747020";"SA720002315";"MA590008110";"1";"30.09.2020"
"1747116";"SA120015899";"MA670013191";"0";""
"1747128";"SA890011411";"MA670014397";"1";"31.12.2022"
"1747192";"SA730010503";"MA190016211";"1";"30.09.2020"
"1747252";"SA360012286";"MA650004182";"0";""
"1747344";"SA660008082";"MA260002713";"1";"30.09.2021"
"1747346";"SA910007462";"MA450021468";"0";""
"1747393";"SA940016186";"MA280002340";"1";"31.07.2020"
"1747573";"SA890010891";"MA900011185";"1";"30.11.2022"
"1747639";"SA250010766";"MA440022052";"1";"31.08.2022"
"1747684";"SA220005392";"MA710005623";"1";"30.09.2022"
"1747753";"SA350004746";"MA480018744";"0";""
"1747830";"SA110014715";"MA540000898";"0";""
"1747860";"SA330004874";"MA260013358";"1";"31.10.2020"
"1747960";"SA160015315";"MA190015386";"0";""
"1748006";"SA960014854";"MA960017640";"0";""
"1748024";"SA650012617";"MA580007295";"0";""
"1748079";"SA210007573";"MA800005043";"0";""
"1748081";"SA630011789";"MA440009333";"0";""
"1748170";"SA940020015";"MA280000520";"0";""
"1748329";"SA420004716";"MA200010553";"0";""
"1748371";"SA180001884";"MA530015851";"0";""
"1748377";"SA710002472";"MA420013704";"1";"31.08.2022"
"1748539";"SA780010099";"MA250004803";"0";""
"1748590";"SA560012797";"MA420001816";"0";""
"1748665";"SA330011080";"MA940016784";"0";""
"1748839";"SA130015803";"MA840004815";"0";""
"1748878";"SA370003469";"MA940000758";"0";""
"1749090";"SA590021740";"MA610010693";"1";"30.04.2021"
"1749097";"SA320016562";"MA430013827";"1";"30.09.2022"
"1749123";"SA870020243";"MA370009255";"0";""
"1749220";"SA690004500";"MA310010362";"0";""
"1749348";"SA520022119";"MA920019224";"1";"31.01.2021"
"1749448";"SA820008620";"MA320008876";"0";""
"1749481";"SA490012138";"MA640012341";"0";""
"1749500";"SA110003972";"MA720012473";"0";""
"1749508";"SA720020899";"MA290018011";"0";""
"1749544";"SA810002471";"MA120013702";"1";"31.03.2021"
"1749850";"SA270021434";"MA870010380";"0";""
"1749858";"SA290000754";"MA530011943";"0";""
"1749882";"SA750012652";"MA580010162";"0";""
"1749929";"SA960014608";"MA420020242";"0";""
"1749949";"SA760018503";"MA320001822";"0";""
"1749953";"SA100013339";"MA470016232";"1";"31.12.2020"
"1749964";"SA340008316";"MA930005763";"0";""
"1750023";"SA660013343";"MA610019001";"1";"31.10.2021"
"1750301";"SA830022186";"MA770002719";"1";"30.06.2021"
"1750381";"SA640009900";"MA380015621";"0";""
"1750388";"SA980012597";"MA930010102";"0";""
"1750466";"SA320018861";"MA270002158";"0";""
"1750503";"SA100010913";"MA360016622";"1";"30.11.2022"
"1750538";"SA800022080";"MA480010996";"1";"31.10.2022"
"1750608";"SA590013327";"MA530002374";"1";"31.12.2020"
"1750635";"SA460013722";"MA360002797";"1";"31.05.2022"
"1750706";"SA430014663";"MA790012024";"0";""
"1750737";"SA230002089";"MA190002194";"1";"30.09.2021"
"1750791";"SA460007729";"MA420005200";"1";"31.07.2022"
"1750880";"SA930015893";"MA590004900";"0";""
"1751128";"SA480012981";"MA620007675";"0";""
"1751218";"SA700006042";"MA140000569";"0";""
"1751250";"SA610018987";"MA410002293";"1";"31.05.2021"
"1751267";"SA260007055";"MA470007290";"0";""
